RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
75,"RL33010","5/13/2020","Australia: Background and U.S. Relations","https://crsreports.congress.gov/product/pdf/download/RL/RL33010/RL33010.pdf/","26","07/27/2005"
76,"R43647","12/11/2014","FY2015 National Defense Authorization Act: Selected Military Personnel Issues","https://crsreports.congress.gov/product/pdf/download/R/R43647/R43647.pdf/","6","07/16/2014"
77,"IF11388","6/23/2020","U.S.-South Korea Alliance: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11388/IF11388.pdf/","2","12/13/2019"
78,"IF10928","7/19/2018","FY2019 Defense Appropriations Bill: An Overview of House-passed H.R. 6157","https://crsreports.congress.gov/product/pdf/download/IF/IF10928/IF10928.pdf/","2","07/19/2018"
79,"R43569","1/16/2015","State, Foreign Operations, and Related Programs: FY2015 Budget and Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R43569/R43569.pdf/","12","05/28/2014"
80,"IF10261","8/14/2020","U.S. Agency for International Development: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10261/IF10261.pdf/","10","07/22/2015"
81,"IF11338","10/23/2019","Diplomatic Security and the Role of Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11338/IF11338.pdf/","1","10/23/2019"
82,"IF10895","12/14/2018","2018 World Bank Capital Increase Proposal","https://crsreports.congress.gov/product/pdf/download/IF/IF10895/IF10895.pdf/","3","05/23/2018"
83,"IF10887","5/9/2018","The FY2019 Defense Budget Request: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10887/IF10887.pdf/","2","05/09/2018"
84,"R42337","1/23/2014","Detention of U.S. Persons as Enemy Belligerents","https://crsreports.congress.gov/product/pdf/download/R/R42337/R42337.pdf/","17","02/03/2012"
85,"R44711","10/7/2020","Department of Defense Research, Development, Test, and Evaluation (RDT&E): Appropriations Structure","https://crsreports.congress.gov/product/pdf/download/R/R44711/R44711.pdf/","9","12/14/2016"
86,"IF11258","6/26/2019","FY2020 National Defense Authorization Act (H.R. 2500, S. 1790)","https://crsreports.congress.gov/product/pdf/download/IF/IF11258/IF11258.pdf/","2","06/26/2019"
87,"IF11047","12/14/2018","The Asia Pacific: Challenges and Opportunities for U.S. Policy","https://crsreports.congress.gov/product/pdf/download/IF/IF11047/IF11047.pdf/","2","12/14/2018"
88,"IF10726","8/16/2017","China-India Rivalry in the Indian Ocean ","https://crsreports.congress.gov/product/pdf/download/IF/IF10726/IF10726.pdf/","2","09/07/2017"
89,"IF10942","8/7/2018","FY2019 National Defense Authorization Act: An Overview of H.R. 5515	","https://crsreports.congress.gov/product/pdf/download/IF/IF10942/IF10942.pdf/","2","08/07/2018"
90,"IN11596","3/4/2021","Russia: Poisoning of Alexei Navalny and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/IN/IN11596/IN11596.pdf/","3","02/09/2021"
91,"R43612","9/25/2018","The Islamic State and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/R/R43612/R43612.pdf/","76","06/20/2014"
92,"IN11328","4/13/2020","Special Inspector General for Pandemic Recovery: Responsibilities, Authority, and Appointment","https://crsreports.congress.gov/product/pdf/download/IN/IN11328/IN11328.pdf/","1","04/13/2020"
93,"IF11566","6/11/2020","Congress, Civilian Control of the Military, and Nonpartisanship","https://crsreports.congress.gov/product/pdf/download/IF/IF11566/IF11566.pdf/","3","06/10/2020"
94,"IF10508","11/18/2016","Global Efforts to Control Cholera ","https://crsreports.congress.gov/product/pdf/download/IF/IF10508/IF10508.pdf/","2","11/21/2016"
95,"IF11689","11/20/2020","Selected Authorities to Obtain DOD Personal Property","https://crsreports.congress.gov/product/pdf/download/IF/IF11689/IF11689.pdf/","1","11/20/2020"
96,"R45996","6/11/2021","Precision-Guided Munitions: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45996/R45996.pdf/","9","11/06/2019"
97,"IF11000","10/9/2018","Pakistan's Economic Crisis","https://crsreports.congress.gov/product/pdf/download/IF/IF11000/IF11000.pdf/","2","10/10/2018"
98,"IF10281","6/7/2021","China Primer: Uyghurs","https://crsreports.congress.gov/product/pdf/download/IF/IF10281/IF10281.pdf/","44","08/16/2015"
99,"IF11440","4/8/2021","U.S. Antipersonnel Landmine Use Policy","https://crsreports.congress.gov/product/pdf/download/IF/IF11440/IF11440.pdf/","3","02/28/2020"
100,"R45816","7/18/2019","FY2019 National Defense Authorization Act (H.R. 5515)","https://crsreports.congress.gov/product/pdf/download/R/R45816/R45816.pdf/","2","07/19/2019"
101,"IF11172","4/8/2019","'Space Force' and Related DOD Proposals: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11172/IF11172.pdf/","2","04/08/2019"
